User ID,Mobile No.,User DOB,User Job,Duration,Intl_Plan,Voicemail_Plan,Voicemail_Messages,Day_Minutes,Day_Calls,Day_Charge,Eve_Minutes,Eve_Calls,Eve_Charge,Night_Minutes,Night_Calls,Night_Charge,Intl_Minutes,Intl_Calls,Intl_Charge,Service_Calls,Attrition
3609,7932415917,1998-06-29,Ambulance person,88,no,no,0.0,294.3,83,650.39,172.1,104,190.19,177.3,105,103.74000000000001,5.8,7,20.41,2,Yes
3614,6311413256,1985-01-18,Technical author,78,no,no,0.0,290.5,,642.07,158.4,75,174.98000000000002,,101,149.5,8.6,6,30.159999999999997,2,Yes
3615,6604958039,1958-01-26,Airline pilot,102,no,no,0.0,183.2,112,404.82,187.5,113,207.22,232.3,77,135.85,9.2,5,32.24,1,Yes
3617,6799631694,1965-11-12,Sport and exercise psychologist,127,yes,no,0.0,220.7,100,487.76000000000005,170.2,89,188.11,278.4,73,162.89,15.0,4,,3,Yes
3618,7437030346,1957-02-24,Armed forces operational officer,100,no,no,0.0,303.0,93,669.63,175.6,89,194.09,135.2,102,79.04,10.4,5,,1,Yes
3629,7467984004,2001-01-15,Barrister,127,yes,no,0.0,324.3,107,716.69,141.6,90,156.51999999999998,,90,121.42,12.8,7,44.98,1,Yes
3631,7639240780,1999-11-03,Chief Operating Officer,49,yes,yes,32.0,176.9,118,390.91,227.0,121,250.9,204.4,115,119.6,15.1,3,53.04,3,Yes
3639,9253079743,1989-11-16,"Pharmacist, community",89,no,no,,208.4,112,460.59,189.5,116,209.43,264.4,101,154.70000000000002,16.8,1,59.02,0,Yes
3657,6325066396,1948-10-22,Politician's assistant,113,no,no,,317.1,97,700.8299999999999,224.8,70,248.43,215.1,90,125.84,13.6,2,47.71,1,Yes
3660,7999456311,2005-03-19,IT trainer,23,no,no,0.0,155.6,122,343.84999999999997,223.8,82,247.26,50.9,130,29.77,10.6,3,37.18,4,Yes
3666,6062671955,1968-10-02,Osteopath,166,no,yes,41.0,196.7,109,434.71999999999997,124.3,107,137.41,198.3,94,115.96,11.0,5,,5,Yes
3668,6325640333,1963-05-29,Financial planner,69,no,no,0.0,215.9,122,477.1,270.3,114,298.74,301.8,129,176.54,6.1,5,,4,Yes
3676,7424909777,1957-08-19,"Designer, textile",114,no,no,0.0,326.1,119,720.72,161.0,105,177.97,220.1,129,128.70000000000002,11.0,3,38.61,1,Yes
3682,7184633815,1996-03-05,Clinical molecular geneticist,154,no,no,0.0,283.6,115,626.73,181.3,103,200.33,306.1,60,179.01,8.8,5,30.939999999999998,0,Yes
3687,9072817611,1956-08-13,Production engineer,64,no,no,0.0,297.8,88,658.19,196.0,89,216.58,213.7,107,125.05999999999999,12.0,2,42.120000000000005,1,Yes
3689,9610996606,1995-10-15,Chiropractor,117,no,no,,233.4,71,515.84,296.4,76,327.47,276.9,103,161.98000000000002,10.3,1,36.14,0,Yes
3693,9490258160,1994-04-01,Chartered loss adjuster,116,no,no,0.0,271.0,114,598.91,209.9,71,231.92,193.5,109,113.23000000000002,13.7,2,48.1,5,Yes
3703,7696180621,1967-12-02,Automotive engineer,3,,no,0.0,125.5,100,277.42,266.2,78,294.19,270.4,119,158.21,5.9,6,20.67,3,Yes
3718,7479784570,1965-07-28,Warden/ranger,185,no,yes,24.0,121.6,100,268.71000000000004,108.3,77,119.73000000000002,206.3,98,120.63999999999999,12.3,2,,5,Yes
3734,8155840328,1974-04-08,"Surveyor, planning and development",92,no,no,0.0,325.4,73,719.16,127.8,100,141.18,209.9,98,122.85,9.3,10,,1,Yes
3739,8419890553,1957-09-17,Fast food restaurant manager,91,no,no,0.0,93.5,110,206.70000000000002,213.3,79,235.69,171.7,83,100.49000000000001,8.9,4,31.2,4,Yes
3747,8922042996,1994-09-12,Graphic designer,113,no,no,0.0,198.6,115,438.88,,106,285.09,,104,143.78,10.2,6,,1,Yes
3755,9972870407,1982-08-02,Materials engineer,102,no,no,0.0,245.4,82,542.36,260.3,124,287.69,195.1,82,114.13999999999999,10.5,3,36.92,3,Yes
3770,7859581711,2002-03-26,Sub,162,yes,no,0.0,147.6,126,326.17,,84,313.95,,87,99.58,8.1,7,28.47,0,Yes
3793,9687478827,1977-11-26,"Surveyor, rural practice",80,no,yes,33.0,189.4,109,418.6,148.7,68,164.32,208.9,119,122.2,11.2,4,39.26,1,Yes
3804,9084814469,1977-08-11,Television floor manager,109,no,yes,39.0,270.0,,596.6999999999999,235.5,108,260.26,194.3,57,113.62,7.8,6,,1,Yes
3823,7918582486,1959-06-07,Intelligence analyst,104,no,no,0.0,304.0,141,671.84,264.1,127,291.84999999999997,138.1,104,80.73,7.2,4,25.22,0,Yes
3842,6328133405,1963-11-09,Youth worker,131,no,no,0.0,210.1,97,464.36,177.3,96,195.91,130.2,136,76.18,13.3,1,46.67,0,Yes
3848,6924043896,1950-12-24,"Engineer, communications",112,no,no,0.0,105.3,101,232.7,187.2,92,206.83,206.4,101,120.76999999999998,11.1,2,39.0,4,Yes
3852,7677051932,1969-08-15,Fish farm manager,178,no,yes,32.0,148.7,95,328.64,,55,219.44,187.0,113,109.33,10.4,7,36.53,6,Yes
3853,7147364013,1943-08-13,Textile designer,136,no,no,0.0,240.1,121,530.66,271.2,123,299.65000000000003,132.7,98,77.61,17.2,4,60.31999999999999,0,Yes
3855,8668697390,1950-03-21,Set designer,87,no,no,0.0,156.0,70,344.76,160.5,89,177.32,206.6,112,120.9,7.1,3,24.96,4,Yes
3869,6946772315,1944-06-23,Hospital pharmacist,90,no,no,0.0,235.0,,519.35,267.3,94,295.36,222.1,119,129.87,5.3,4,18.59,3,Yes
3874,9313774652,1998-03-01,Sales promotion account executive,63,no,no,0.0,162.5,86,359.19,165.4,112,182.78,163.7,67,95.81,13.4,6,47.06,4,Yes
3902,7457850657,1982-12-15,Special educational needs teacher,152,no,no,0.0,302.8,143,669.24,189.8,69,209.69,214.9,114,125.71,10.9,4,38.22,2,Yes
3910,9420849199,1961-11-27,"Civil engineer, contracting",155,yes,yes,,234.6,84,518.44,214.9,119,237.51,196.7,69,115.05,8.0,2,28.080000000000002,1,Yes
3917,9990467322,1992-11-01,"Research officer, government",68,yes,no,0.0,197.7,99,436.93,188.8,106,208.65,254.6,80,148.98000000000002,19.2,4,,3,Yes
3932,7520084727,1954-03-25,Museum/gallery exhibitions officer,123,no,no,0.0,222.4,90,491.53000000000003,,104,316.42,300.8,95,176.01999999999998,9.9,3,34.71,2,Yes
3933,8363090547,1966-11-20,"Psychologist, forensic",88,no,no,0.0,82.7,94,182.78,,130,174.07,205.9,81,120.50999999999999,10.6,4,37.18,0,Yes
3955,7857851287,2000-07-23,Armed forces training and education officer,68,no,no,0.0,267.9,80,592.02,145.4,143,160.68,273.3,119,159.9,14.9,1,52.25999999999999,3,Yes
3962,7775576274,1986-11-22,Educational psychologist,117,no,no,0.0,180.6,134,399.09999999999997,216.6,96,239.33,101.0,122,59.15,10.6,6,37.18,4,Yes
3967,7807790280,1942-11-11,Neurosurgeon,124,no,no,0.0,282.8,108,625.04,246.3,89,272.22,256.4,96,150.01999999999998,10.3,1,36.14,3,Yes
3974,7251581564,1962-09-20,Airline pilot,50,no,no,0.0,160.1,64,353.86,208.7,123,230.61999999999998,199.7,84,116.87,7.6,12,26.65,5,Yes
3979,7398216047,1951-08-02,Dramatherapist,111,yes,no,0.0,159.4,,352.3,,53,297.57,179.8,103,105.17,13.7,2,48.1,2,Yes
3984,7973155492,1951-04-09,Risk manager,65,no,no,0.0,244.5,72,540.41,206.2,88,227.89000000000001,299.8,110,175.37,7.6,1,26.65,5,Yes
3987,9428705350,2004-07-03,Occupational therapist,95,no,no,0.0,133.0,,293.93,196.6,126,217.23000000000002,181.0,128,105.95,9.9,3,34.71,4,Yes
3988,8334559687,1959-10-20,"Production designer, theatre/television/film",118,no,no,0.0,297.2,113,656.76,188.8,114,208.65,188.9,100,110.5,12.4,6,43.550000000000004,1,Yes
3992,7942184082,1970-02-01,"Engineer, production",123,,no,0.0,132.2,122,292.11,169.9,101,187.72,150.1,123,87.75,12.9,11,45.24,3,Yes
3994,7714669189,1982-07-30,"Accountant, chartered certified",112,no,no,0.0,351.5,95,776.88,206.8,108,228.53999999999996,275.8,146,161.33,11.9,4,41.73,1,Yes
4003,6718190200,1984-06-23,Environmental manager,60,yes,no,0.0,97.2,91,214.76,,93,269.23,235.0,116,137.54,10.1,2,,1,Yes
4019,8421123522,1994-07-19,Legal executive,175,yes,yes,35.0,159.5,95,352.56,140.7,100,155.48000000000002,,99,103.09,5.4,4,18.98,5,Yes
4022,9337917030,1949-05-16,Accounting technician,117,yes,no,0.0,158.1,101,349.44,315.1,96,348.14,176.1,108,102.96,13.9,2,48.75,3,Yes
4024,8900144478,1973-10-07,Facilities manager,131,no,no,0.0,103.5,105,228.8,174.1,103,192.4,248.2,95,145.21,11.7,2,41.08,5,Yes
4028,9748291907,1999-11-21,Hospital pharmacist,67,no,no,0.0,125.0,96,276.25,294.5,114,325.39,205.7,75,120.38,10.2,4,35.75,1,Yes
4031,9199741723,1987-04-14,Data scientist,107,no,no,0.0,260.6,81,575.9,246.1,116,271.96000000000004,243.3,117,142.35,12.8,9,44.98,0,Yes
4042,8589224633,1969-07-06,Commissioning editor,52,no,no,0.0,257.9,,569.9200000000001,220.7,82,243.88000000000002,,70,131.82,16.8,3,,2,Yes
4049,6722538917,1946-03-20,Environmental education officer,124,no,no,0.0,133.2,80,294.32,144.2,98,159.38,261.0,102,152.75,12.0,3,42.120000000000005,3,Yes
4054,7449321013,1986-05-29,Television camera operator,61,no,no,0.0,140.8,126,311.22,,115,234.77999999999997,,79,82.94,6.4,5,22.49,4,Yes
4063,6042794238,1982-11-04,Site engineer,77,yes,yes,34.0,209.9,79,463.84,226.1,88,249.85999999999999,101.8,103,59.54,11.4,2,40.04,2,Yes
4068,7640005341,1965-12-17,Furniture designer,117,no,no,0.0,185.6,115,410.15000000000003,174.8,83,193.18,188.2,122,110.11000000000001,6.7,4,23.53,4,Yes
4080,6965939262,1942-11-08,Estate agent,119,no,no,0.0,287.1,83,634.53,,124,241.27999999999997,151.5,42,88.66,11.0,4,38.61,1,Yes
4088,6271426794,2003-01-19,"Education officer, community",142,yes,no,0.0,160.6,101,354.90000000000003,202.0,125,223.21000000000004,,100,129.74,8.8,2,30.939999999999998,1,Yes
4094,8699029582,1972-06-26,Chartered public finance accountant,139,no,no,0.0,258.7,94,571.74,190.3,132,210.34,247.2,73,144.56,11.4,2,40.04,1,Yes
4113,8411189037,2005-03-15,Heritage manager,110,no,no,0.0,244.7,84,540.8000000000001,106.4,95,117.51999999999998,194.9,61,114.00999999999999,10.5,1,36.92,2,Yes
4121,7624987290,1973-05-18,Clinical psychologist,32,yes,no,0.0,265.5,75,586.82,119.7,77,132.21,169.9,128,99.45,14.8,6,52.0,2,Yes
4122,9111530511,1953-05-27,Dentist,101,no,no,0.0,332.1,,733.98,151.0,123,166.92,277.8,99,162.5,11.3,3,39.65,1,Yes
4131,7920298120,1991-10-02,"Lighting technician, broadcasting/film/video",150,no,no,0.0,150.9,,333.45,191.0,106,211.11999999999998,223.6,107,130.78,8.3,4,29.120000000000005,5,Yes
4132,6492073744,1956-02-08,Artist,94,no,no,0.0,255.1,96,563.81,276.9,67,306.02,226.5,74,132.47,10.6,2,37.18,0,Yes
4136,9070322156,1987-11-19,"Conservator, museum/gallery",74,no,no,0.0,286.9,,634.01,260.8,121,288.21000000000004,137.1,94,80.21,12.6,6,44.199999999999996,0,Yes
4138,6150444833,1960-10-10,Systems developer,76,no,no,0.0,222.0,,490.62,215.9,122,238.55,204.1,131,119.34,8.2,5,28.73,3,Yes
4141,7300942797,1952-01-28,Transport planner,161,no,no,0.0,252.3,120,557.57,243.8,98,269.36,284.4,96,166.4,9.2,2,32.24,1,Yes
4142,8610731066,1980-11-04,Plant breeder/geneticist,116,no,no,0.0,255.5,93,564.72,224.4,122,247.91,317.3,85,185.64,12.7,4,44.59,1,Yes
4154,7028855922,1992-04-27,Television floor manager,106,yes,no,0.0,196.7,100,434.71999999999997,210.2,109,232.31,173.8,83,101.66,7.8,1,,4,Yes
4158,6094825804,1988-03-28,Land/geomatics surveyor,174,no,no,0.0,222.3,102,491.27,173.8,123,192.01,297.2,97,173.81,5.7,2,20.02,0,Yes
4159,8537461878,1996-10-12,Speech and language therapist,98,no,no,0.0,198.6,92,438.88,349.4,99,386.09999999999997,221.7,83,129.74,7.3,6,25.61,2,Yes
4163,8191599997,1980-10-06,Lobbyist,4,yes,no,0.0,169.7,96,375.05,131.8,94,145.6,245.1,86,143.39,14.2,4,49.79,0,Yes
4166,9329180956,1980-07-12,"Research officer, government",114,no,no,0.0,247.8,95,547.69,255.1,98,281.84,224.1,105,131.04,9.5,6,33.41,1,Yes
4172,6050890883,1945-05-18,Advertising account planner,36,yes,yes,19.0,171.9,96,379.86,,111,219.18,,76,188.24,10.5,1,36.92,1,Yes
4186,8062374816,1967-06-24,Psychiatric nurse,87,no,no,0.0,297.4,63,657.28,118.4,108,130.78,242.3,72,141.70000000000002,11.0,2,38.61,2,Yes
4191,7870952734,2002-12-10,Site engineer,72,yes,no,0.0,286.1,101,632.32,306.1,94,338.26,232.8,89,136.24,10.3,1,36.14,4,Yes
4197,7186959742,1986-06-19,"Engineer, energy",59,no,no,0.0,155.5,92,343.72,192.3,104,212.55,,106,72.14999999999999,10.5,3,36.92,4,Yes
4203,6338813145,1973-10-07,Records manager,125,,no,0.0,190.2,107,420.28999999999996,209.2,75,231.14000000000001,102.1,136,59.67,14.2,5,49.79,4,Yes
4211,7542300099,1976-07-14,Sub,102,no,no,0.0,171.6,116,379.21000000000004,219.4,111,242.45,242.1,85,141.57,12.1,4,42.51,0,Yes
4212,6168495006,1953-05-04,Personal assistant,112,no,no,0.0,242.1,69,535.0799999999999,235.2,150,259.87,237.7,106,139.1,10.0,5,35.1,3,Yes
4226,7821952568,1974-05-16,Translator,78,yes,no,0.0,71.5,126,158.08,166.8,127,184.34,211.6,86,123.75999999999999,8.3,2,29.120000000000005,3,Yes
4229,7859850522,1994-02-18,"Programme researcher, broadcasting/film/video",141,no,no,0.0,264.3,90,584.09,216.4,101,239.07,208.8,72,122.2,9.6,3,33.67,0,Yes
4230,7638843033,2003-10-01,Financial planner,91,yes,no,0.0,103.2,100,228.01999999999998,124.8,154,137.93,336.1,111,196.56,14.0,4,49.14,2,Yes
4231,9740839169,1949-06-23,"Surveyor, quantity",150,yes,no,0.0,114.8,156,253.76,135.3,78,149.5,218.4,98,127.79,15.6,4,54.73,1,Yes
4237,6306553084,1958-06-16,"Radiographer, therapeutic",91,no,no,0.0,153.2,70,338.52,231.7,91,255.97000000000003,115.1,80,67.34,9.8,3,,4,Yes
4252,8168808053,1982-04-13,"Designer, textile",67,no,no,0.0,225.9,78,499.2,243.1,83,268.58,84.1,94,49.14,13.5,2,47.449999999999996,2,Yes
4254,6025605117,1979-01-14,Energy manager,103,no,no,0.0,267.0,97,590.07,204.3,151,225.81,246.9,67,144.43,11.3,7,39.65,1,Yes
4258,8853667829,1960-12-04,Health and safety adviser,65,no,no,0.0,183.4,63,405.34,183.6,80,202.93,153.5,83,89.83,10.7,4,37.57,4,Yes
4259,6211671743,1992-09-21,Academic librarian,86,no,no,0.0,223.0,109,492.8299999999999,286.2,76,316.28999999999996,257.8,132,150.79999999999998,7.5,7,26.389999999999997,3,Yes
4265,8817210668,1984-01-17,Geophysicist/field seismologist,103,no,no,0.0,278.4,121,615.29,252.2,139,278.72,202.3,96,118.3,13.7,1,48.1,1,Yes
4269,8580658695,1943-03-25,Higher education lecturer,155,yes,no,0.0,176.1,88,389.22,244.5,84,270.14,189.9,99,111.15,11.2,1,39.26,2,Yes
4281,9801848161,1998-10-04,Equality and diversity officer,104,no,no,0.0,210.9,,466.05,272.2,101,300.82,304.3,86,177.97,10.6,5,37.18,3,Yes
4284,7652273816,1962-12-05,Civil Service administrator,45,yes,no,0.0,189.6,96,418.98999999999995,171.7,69,189.67,222.0,102,129.87,13.9,7,48.75,1,Yes
4286,6437561137,1945-11-10,Community arts worker,173,,no,0.0,128.6,,284.18,248.3,92,274.43,130.1,115,76.05,10.4,2,36.53,4,Yes
4293,6722635747,1960-05-30,"Designer, industrial/product",78,yes,no,,198.9,,439.53000000000003,210.6,86,232.7,252.1,99,147.42,14.4,12,50.57,0,Yes
4295,9584942366,1952-01-21,"Designer, interior/spatial",49,,no,0.0,202.3,105,447.07,195.4,131,215.93,190.1,88,111.15,9.0,2,,3,Yes
4297,8415672816,1966-08-04,Actor,64,no,no,0.0,131.3,105,290.16,,114,120.9,246.2,125,144.04,12.7,4,44.59,4,Yes
4298,9010385586,1982-10-05,Chief Strategy Officer,105,yes,no,0.0,274.0,156,605.54,263.0,69,290.68,195.9,93,114.66,11.3,3,39.65,3,Yes
4308,6151019380,1992-01-15,Pension scheme manager,176,,no,0.0,304.2,111,672.23,306.6,64,338.78,207.9,98,121.67999999999999,9.5,2,33.41,7,Yes
4310,7273507400,1979-01-29,Health and safety inspector,108,yes,no,0.0,137.3,,303.42,143.8,94,158.86,238.7,101,139.62,8.9,1,31.2,1,Yes
4325,9660760409,1993-12-28,English as a foreign language teacher,81,yes,no,0.0,220.4,76,487.11,276.4,122,305.37,239.5,112,140.14,11.4,5,40.04,1,Yes
4329,7701953170,1960-03-21,Photographer,128,yes,no,0.0,192.8,96,426.14,136.6,86,150.93,151.8,75,88.79,13.5,4,47.449999999999996,1,Yes
4331,6999331336,1995-12-05,"Loss adjuster, chartered",76,no,no,,293.8,94,649.35,169.6,62,187.46,160.4,103,93.86,13.7,9,48.1,0,Yes
4333,6850020122,1959-07-01,Facilities manager,82,no,no,0.0,313.6,110,693.03,263.2,104,290.81,139.0,93,81.38,7.5,5,26.389999999999997,1,Yes
4338,9107643851,1967-02-02,Forensic scientist,78,yes,no,0.0,176.6,107,390.26,,98,198.25,178.2,80,104.25999999999999,16.6,5,,2,Yes
4356,7337563253,1982-01-05,Sales promotion account executive,33,yes,no,0.0,247.1,114,546.13,,110,161.85,208.9,94,122.2,10.6,2,37.18,4,Yes
4367,6655014753,1954-01-27,Retail buyer,109,,no,0.0,159.6,,352.69,151.0,126,166.92,142.1,53,83.07,7.3,4,25.61,4,Yes
4371,6430213441,1985-10-14,Multimedia specialist,168,no,no,0.0,160.6,110,354.90000000000003,185.2,120,204.62,120.2,104,70.33,9.1,4,,1,Yes
4372,9511772238,1957-11-22,"Engineer, petroleum",138,yes,no,0.0,261.1,96,577.07,170.9,120,188.89,71.1,89,41.6,0.0,0,,3,Yes
4377,9129080512,1999-09-21,Animator,149,,yes,25.0,185.6,109,410.15000000000003,,89,184.86,171.6,100,100.36,10.7,3,37.57,1,Yes
4384,7941716540,1976-02-26,Diagnostic radiographer,140,no,no,0.0,143.0,100,316.03,193.4,89,213.72000000000003,59.5,81,34.84,12.3,8,43.16,4,Yes
4387,6500108920,2002-05-05,Statistician,88,yes,no,0.0,132.9,132,293.67,208.2,82,230.1,260.5,42,152.36,14.4,11,50.57,2,Yes
4405,7776501915,1946-02-17,Museum/gallery exhibitions officer,95,,yes,24.0,129.4,120,286.0,159.8,68,176.54,,83,125.45,12.6,4,44.199999999999996,4,Yes
4407,6193621915,1985-07-27,"Social research officer, government",116,yes,no,0.0,232.2,,513.11,244.7,91,270.40000000000003,151.3,69,88.53,10.6,1,37.18,7,Yes
4412,8603795320,1980-05-23,Recycling officer,100,no,no,0.0,254.2,97,561.73,262.0,88,289.51,256.3,82,149.89,13.6,6,47.71,0,Yes
4422,7557679607,1965-07-17,"Surveyor, hydrographic",67,no,no,0.0,177.4,,392.08,215.2,123,237.76999999999998,132.4,120,77.48,6.6,4,23.14,4,Yes
4438,7882402382,2003-05-04,Advice worker,101,yes,no,0.0,169.5,117,374.66,,111,234.26,,120,119.34,9.7,1,34.06,0,Yes
4466,7085884712,1987-04-06,Water engineer,116,no,no,,254.6,107,562.64,249.4,89,275.59999999999997,229.6,77,134.29,9.0,18,31.590000000000003,2,Yes
4472,9613114056,1944-05-12,Clinical embryologist,47,yes,no,0.0,135.0,,298.34999999999997,176.3,111,194.87,144.6,96,84.63,10.5,1,36.92,1,Yes
4477,9341091658,1967-05-05,"Scientist, audiological",70,no,no,0.0,325.5,128,719.4200000000001,300.3,105,331.89,199.8,93,116.87,5.7,7,,1,Yes
4489,6361481406,1970-07-06,"Scientist, biomedical",103,yes,no,0.0,133.2,90,294.32,236.8,70,261.69,,120,125.19000000000001,12.5,2,43.94,1,Yes
4490,9765056332,1969-02-28,Sports coach,157,no,no,0.0,248.7,113,549.64,251.8,79,278.2,262.7,46,153.66,7.5,3,26.389999999999997,5,Yes
4493,7116675809,1959-01-12,Television floor manager,136,,no,0.0,276.3,94,610.61,226.0,125,249.73000000000002,221.4,87,129.48000000000002,7.2,1,25.22,1,Yes
4503,8275149701,1950-12-21,"Designer, textile",60,yes,yes,45.0,135.6,101,299.65000000000003,94.9,73,104.91,154.0,118,90.09,9.8,3,34.449999999999996,4,Yes
4508,6532310612,1976-02-18,Public librarian,86,no,no,0.0,234.6,102,518.44,268.3,109,296.53,195.6,102,114.4,11.6,4,,1,Yes
4514,7163735452,1958-01-15,Financial risk analyst,121,,no,0.0,273.8,,605.15,263.1,106,290.68,201.5,83,117.91,10.8,3,37.96,1,Yes
4538,8974780270,1955-09-27,"Therapist, art",100,no,yes,31.0,67.7,67,149.63,147.1,116,162.5,,103,168.61,12.3,2,43.16,6,Yes
4563,6992881379,1999-02-06,Commissioning editor,42,no,no,0.0,137.9,160,304.72,,107,259.61,166.6,70,97.5,14.3,3,,5,Yes
4569,6192239846,1994-01-05,"Teacher, English as a foreign language",124,no,no,0.0,108.2,92,239.07,214.3,83,236.85999999999999,185.5,155,108.55,13.2,11,46.28,4,Yes
4573,6146159770,1968-04-16,Claims inspector/assessor,80,yes,no,0.0,275.4,,608.66,186.7,66,206.31,201.3,87,117.78,9.4,2,33.02,0,Yes
4577,6996753156,1944-12-26,Media planner,131,no,no,0.0,256.6,96,567.06,225.2,113,248.82,190.2,91,111.28,11.1,3,39.0,1,Yes
4578,6279780510,1956-04-03,Hotel manager,158,yes,no,0.0,200.0,,442.0,205.4,106,226.98000000000002,323.7,96,189.41,8.9,2,31.2,0,Yes
4593,7356731520,2003-10-17,"Conservator, furniture",72,no,yes,38.0,84.3,,186.29,,127,295.23,167.7,75,98.14999999999999,8.3,6,29.120000000000005,4,Yes
4598,7199762906,1979-12-22,Operational researcher,65,,no,0.0,54.8,74,121.16,239.8,93,264.94,214.4,91,125.45,13.4,5,47.06,1,Yes
4600,7088624477,1994-07-09,"Therapist, art",127,no,no,0.0,271.2,110,599.3000000000001,213.5,80,235.95,,102,118.04,13.2,4,46.28,0,Yes
4625,8299446561,1968-09-29,Patent attorney,178,no,no,0.0,225.4,104,498.16,110.7,90,122.33,134.1,109,78.39,15.3,5,53.69,2,Yes
4629,8631514847,1955-06-07,Civil Service fast streamer,41,no,no,0.0,102.9,114,227.36999999999998,107.9,119,119.21,277.6,99,162.37,11.0,4,38.61,6,Yes
4637,6625731506,1981-03-01,Commercial/residential surveyor,136,yes,yes,,160.3,115,354.25,273.2,88,301.86,203.2,89,118.82000000000001,11.7,2,,0,Yes
4639,7589112046,1974-11-25,Product manager,38,no,no,,281.1,113,621.27,236.1,82,260.91,230.1,60,134.54999999999998,10.9,3,38.22,1,Yes
4641,7999544569,1989-01-25,"Surveyor, hydrographic",110,,no,0.0,251.3,91,555.36,207.2,95,228.93,249.0,70,145.73000000000002,12.9,2,45.24,1,Yes
4644,8059431201,2001-05-07,"Designer, ceramics/pottery",114,,no,,200.7,72,443.55999999999995,271.2,79,299.65000000000003,,97,110.11000000000001,13.4,7,47.06,2,Yes
4651,9289214162,1968-07-01,"Programmer, multimedia",89,no,no,0.0,269.8,94,596.31,227.0,125,250.9,,135,124.15,4.7,6,16.51,1,Yes
4659,8933634645,1962-10-03,"Solicitor, Scotland",91,no,no,0.0,289.3,73,639.34,179.8,86,198.64,,94,109.2,6.4,7,22.49,1,Yes
4677,7894617542,1991-05-05,Purchasing manager,200,yes,yes,29.0,92.2,95,203.71,,101,221.0,119.1,99,69.68,5.7,1,20.02,1,Yes
4679,7621934710,1982-01-07,Research scientist (maths),143,no,no,0.0,211.4,94,467.21999999999997,184.5,89,203.84,243.2,108,142.22,5.5,5,,1,Yes
4688,9946734083,1981-05-11,Dispensing optician,97,yes,no,0.0,272.8,,602.94,216.5,113,239.2,245.1,67,143.39,6.1,8,21.45,5,Yes
4693,8585125104,1961-08-11,Trade union research officer,98,no,no,0.0,182.6,76,403.52,145.2,75,160.42,162.6,127,95.16,12.0,1,42.120000000000005,6,Yes
